CWE, Tests, TP, TP(%), FN(%)
CWE78,444,428,96.40,3.60
CWE23,444,416,93.69,6.31
CWE36,444,425,95.72,4.28
CWE89,2220,1761,79.32,20.68
CWE15,444,416,93.69,6.31
CWE90,444,417,93.92,6.08
