CWE, Tests, FP, FP(%), TN(%)
CWE78,672,265,39.43,60.57
CWE23,672,264,39.29,60.71
CWE36,672,209,31.10,68.90
CWE89,2311,822,35.57,64.43
CWE15,504,198,39.29,60.71
CWE90,672,264,39.29,60.71
